#{"t_start": 1752056778.3082104, "env_id": "MultiInventory-v0"}
r,l,t
-13.32,30,55.203517
-13.7,30,55.243588
-12.87,30,55.278796
-13.19,30,55.312131
-13.19,30,55.350424
-13.81,30,55.38623
-14.04,30,55.420303
-11.52,30,55.455153
-13.94,30,55.489563
-13.24,30,55.522876
-14.24,30,55.555699
-13.71,30,55.588001
-13.0,30,55.623722
-13.49,30,55.656615
-12.7,30,55.69027
-13.83,30,55.730425
-14.23,30,55.764914
-13.1,30,55.800889
-13.68,30,55.833865
-13.59,30,55.891672
-13.17,30,55.928255
-12.51,30,55.962876
-13.24,30,55.999626
-14.46,30,56.034431
-13.96,30,56.075157
-12.73,30,57.64503
-13.66,30,57.677158
-13.36,30,57.708526
-14.42,30,57.741433
-12.81,30,57.77398
-13.48,30,57.806086
-13.3,30,57.837885
-13.65,30,57.872491
-13.71,30,57.911432
-14.39,30,57.949259
-12.93,30,57.984578
-12.97,30,58.018306
-13.84,30,58.052565
-13.94,30,58.089936
-13.74,30,58.125494
-14.04,30,58.15776
-13.08,30,58.189591
-13.11,30,58.225116
-13.35,30,58.262156
-14.0,30,58.298971
-13.79,30,58.336234
-13.51,30,58.375797
-12.94,30,58.411322
-12.77,30,58.446691
-13.75,30,58.481925
-13.68,30,58.516259
-12.47,30,58.551351
-13.94,30,58.588089
-14.52,30,58.621044
-12.76,30,58.657859
-13.38,30,58.690103
-12.6,30,58.724764
-14.06,30,58.756487
-13.88,30,58.792554
-12.4,30,58.826632
-12.37,30,58.860359
-11.5,30,58.894499
-13.7,30,58.929746
-12.82,30,58.963496
-12.98,30,59.005414
-14.29,30,59.042637
-12.98,30,59.076973
-12.9,30,59.113086
-14.17,30,59.1492
-12.43,30,59.186925
-13.68,30,59.223974
-13.94,30,59.257416
-14.07,30,59.290014
-12.86,30,59.326401
-13.9,30,59.357546
-12.74,30,59.3897
-13.26,30,59.423622
-11.98,30,59.456264
-13.37,30,59.493187
-13.81,30,59.526514
-13.3,30,59.563334
-13.63,30,59.602115
